,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Castro,-24.7911,-50.0119,52.18,74,100,3.22,BR,1660451038
1,Luanda,-8.8368,13.2343,66.9,87,99,2.66,AO,1660451038
2,Bluff,-46.6,168.3333,50.81,77,68,23.91,NZ,1660451039
3,Qaanaaq,77.484,-69.3632,43.99,68,100,8.21,GL,1660451039
4,Barrow,71.2906,-156.7887,33.82,86,100,3.44,US,1660450770
5,Rikitea,-23.1203,-134.9692,73.13,79,82,21.3,PF,1660451040
6,Bagotville,-28.9833,153.4167,69.69,43,0,10.04,AU,1660450866
7,Zabid,14.1951,43.3152,86.54,59,89,2.08,YE,1660450866
8,Yeppoon,-23.1333,150.7333,76.78,65,0,10.49,AU,1660450867
9,Kapaa,22.0752,-159.319,82.38,83,20,11.5,US,1660450713
10,Kahului,20.8947,-156.47,86.02,56,20,23.02,US,1660450830
11,Vung Tau,10.346,107.0843,84.42,70,46,6.78,VN,1660450868
12,Punta Arenas,-53.15,-70.9167,33.91,93,75,8.05,CL,1660450741
13,Jamestown,42.097,-79.2353,62.24,73,0,0.0,US,1660450531
14,Hong Kong,22.2855,114.1577,91.04,73,14,5.99,HK,1660450605
15,Cherskiy,68.75,161.3,40.44,94,100,7.7,RU,1660450763
16,Lagoa,39.05,-27.9833,74.19,89,0,9.82,PT,1660450869
17,Vaini,-21.2,-175.2,73.56,78,75,11.5,TO,1660450728
18,Iqaluit,63.7506,-68.5145,46.13,93,100,3.0,CA,1660450870
19,Arrondissement de Vierzon,47.2101,2.0625,71.87,87,100,9.22,FR,1660450870
20,Aden,12.7794,45.0367,85.46,73,89,20.2,YE,1660450632
21,Yellowknife,62.456,-114.3525,63.12,55,20,4.61,CA,1660450840
22,Bengkulu,-3.8004,102.2655,84.06,67,86,4.74,ID,1660450735
23,Semīrom,31.4167,51.5667,64.65,16,0,3.04,IR,1660450871
24,Ribeira Grande,38.5167,-28.7,75.49,85,5,5.44,PT,1660450826
25,Mahébourg,-20.4081,57.7,70.25,64,20,19.57,MU,1660450792
26,Tautira,-17.7333,-149.15,77.61,77,72,13.51,PF,1660450872
27,Norman Wells,65.282,-126.8329,78.84,27,20,5.75,CA,1660450757
28,Pevek,69.7008,170.3133,34.57,79,12,9.46,RU,1660450769
29,Mareeba,-17.0,145.4333,81.45,56,49,4.94,AU,1660450873
30,Cidreira,-30.1811,-50.2056,60.67,87,0,5.99,BR,1660450873
