,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,East London,-33.0153,27.9116,67.14,63,0,4.61,ZA,1659450570
1,Upernavik,72.7868,-56.1549,45.25,80,87,11.54,GL,1659450570
2,Rikitea,-23.1203,-134.9692,72.95,72,83,21.81,PF,1659450571
4,Kharan,28.5833,65.4167,102.67,15,15,2.08,PK,1659450572
5,Agüimes,27.9054,-15.4461,83.03,54,20,29.93,ES,1659449997
6,Hithadhoo,-0.6,73.0833,81.3,72,23,14.54,MV,1659450572
7,Baraboo,43.4711,-89.7443,73.54,81,0,4.61,US,1659450544
8,Węgrów,52.3995,22.0163,77.92,44,18,8.25,PL,1659450573
9,Cherskiy,68.75,161.3,57.79,91,100,3.44,RU,1659450503
10,Bluff,-46.6,168.3333,44.8,78,69,24.79,NZ,1659450573
11,Bredasdorp,-34.5322,20.0403,63.82,51,10,6.31,ZA,1659450574
12,Ribeira Grande,38.5167,-28.7,77.4,78,40,8.05,PT,1659450012
13,Cilegon,-6.0174,106.0538,79.48,79,13,3.27,ID,1659450574
14,Sioux Lookout,50.1001,-91.917,66.27,88,100,4.61,CA,1659450288
15,Hobart,-42.8794,147.3294,53.26,67,100,12.66,AU,1659450005
16,Ngunguru,-35.6167,174.5,55.74,81,100,8.77,NZ,1659450575
17,Acapulco de Juárez,16.8634,-99.8901,82.22,74,20,3.44,MX,1659449992
18,Ushuaia,-54.8,-68.3,40.66,87,75,10.36,AR,1659450445
19,Vaini,-21.2,-175.2,73.56,94,40,6.91,TO,1659450576
20,Albany,42.6001,-73.9662,79.65,73,8,5.66,US,1659450236
21,Atuona,-9.8,-139.0333,75.96,70,19,22.79,PF,1659450577
22,Sinnamary,5.3833,-52.95,83.7,70,5,6.67,GF,1659450175
23,Canandaigua,42.8742,-77.288,78.13,79,60,5.99,US,1659450345
24,New Norfolk,-42.7826,147.0587,53.92,74,100,1.01,AU,1659450578
25,Avarua,-21.2078,-159.775,73.45,60,40,8.05,CK,1659450578
26,Busselton,-33.65,115.3333,51.03,70,90,31.43,AU,1659450578
27,Vardø,70.3705,31.1107,60.78,82,0,4.61,NO,1659450579
28,Bambous Virieux,-20.3428,57.7575,70.05,78,40,6.91,MU,1659450579
29,Norman Wells,65.282,-126.8329,55.44,67,75,3.44,CA,1659450110
30,Dryden,49.7833,-92.7503,64.69,94,100,6.91,CA,1659450580
31,Nikolskoye,59.7035,30.7861,69.69,83,99,6.53,RU,1659450580
32,Hilo,19.7297,-155.09,70.61,89,100,6.91,US,1659450581
33,Jamestown,42.097,-79.2353,73.53,69,100,12.66,US,1659450518
34,Ixtapa,20.7,-105.2,79.83,83,75,0.0,MX,1659450462
35,Saint Paul Harbor,57.79,-152.4072,56.71,62,0,20.71,US,1659450049
36,Tiksi,71.6872,128.8694,41.14,75,100,9.44,RU,1659450581
37,Barrow,71.2906,-156.7887,35.69,82,36,11.63,US,1659449969
38,Brae,60.3964,-1.353,57.99,94,100,21.52,GB,1659450521
39,Chokurdakh,70.6333,147.9167,53.56,68,100,3.67,RU,1659450019
40,São Filipe,14.8961,-24.4956,78.39,78,69,4.45,CV,1659450007
41,Hrubieszów,50.805,23.8925,77.81,43,28,11.39,PL,1659450583
42,Oktyabr'skoye,43.0645,44.7417,87.35,43,75,11.18,RU,1659450583
43,Butaritari,3.0707,172.7902,81.64,75,100,19.22,KI,1659450583
44,Carnarvon,-24.8667,113.6333,66.58,63,90,18.21,AU,1659450061
45,Poli,-3.3333,36.8,70.74,38,43,8.7,TZ,1659450584
46,Mataura,-46.1927,168.8643,44.47,93,100,7.58,NZ,1659450584
47,Basco,20.4487,121.9702,81.79,77,100,15.21,PH,1659450585
48,Geraldton,-28.7667,114.6,64.81,68,75,23.02,AU,1659449988
49,Portland,45.5234,-122.6762,65.01,85,75,5.75,US,1659450343
50,Faya,18.3851,42.4509,69.91,64,98,4.45,SA,1659450020
51,Miandrivazo,-19.5167,45.4667,87.26,22,0,5.66,MG,1659450586
52,Namatanai,-3.6667,152.4333,79.3,76,92,10.4,PG,1659450173
53,Nagato,34.3833,131.2,80.28,89,16,4.56,JP,1659450178
54,Castro,-24.7911,-50.0119,72.79,44,0,2.19,BR,1659450587
55,Lasem,-6.6922,111.4527,79.93,81,98,7.31,ID,1659450587
56,Aklavik,68.2191,-135.0107,46.4,87,100,16.11,CA,1659450021
57,Ilulissat,69.2167,-51.1,48.22,87,75,2.3,GL,1659450588
58,Punta Arenas,-53.15,-70.9167,41.11,81,75,10.36,CL,1659450588
59,Hermanus,-34.4187,19.2345,63.48,61,11,6.17,ZA,1659450589
60,Hasaki,35.7333,140.8333,82.29,88,100,6.44,JP,1659450589
61,Los Llanos de Aridane,28.6585,-17.9182,80.13,71,0,18.41,ES,1659450446
62,Mahébourg,-20.4081,57.7,70.09,78,40,6.91,MU,1659450590
63,Beringovskiy,63.05,179.3167,53.02,68,65,8.7,RU,1659450590
64,Zonguldak,41.25,31.8333,76.05,58,45,10.09,TR,1659450591
65,Jacqueville,5.2052,-4.4146,75.96,70,76,10.04,CI,1659450591
66,Codrington,-38.2667,141.9667,55.33,56,100,30.6,AU,1659450592
67,Prince Rupert,54.3161,-130.3201,56.89,97,100,10.36,CA,1659450463
68,Dikson,73.5069,80.5464,42.6,87,54,4.7,RU,1659450593
69,Bengkulu,-3.8004,102.2655,76.53,88,100,3.33,ID,1659450593
70,Vostok,46.4856,135.8833,66.88,81,100,4.12,RU,1659450074
71,Kapaa,22.0752,-159.319,75.52,84,75,14.97,US,1659450594
72,Berlevåg,70.8578,29.0864,66.0,82,31,16.11,NO,1659450594
73,Tuy Hoa,13.0833,109.3,78.6,89,97,5.44,VN,1659450594
74,Ajra,16.1167,74.2,72.41,94,100,4.85,IN,1659450595
75,Bethel,41.3712,-73.414,82.35,78,0,4.61,US,1659450473
76,Cabo San Lucas,22.8909,-109.9124,85.51,65,36,8.9,MX,1659450595
77,Ruteng,-8.6136,120.4721,62.42,94,76,1.66,ID,1659450596
